Index,U.sw_419051,C.sw_419051,E.sw_419051,Q.sw_419051,Qq.sw_419051,Qs.sw_419051,Qd.sw_419051,G.gw_shallow,G.gw_deep,Uq.sw_419051,Us.sw_419051,Ud.sw_419051,R.gw_shallow,R.gw_deep,Gf.GwFlow,swE.sw_419051,S.gw_shallow,S.gw_deep,Glevel.gw_shallow.GW030130_1,Glevel.gw_shallow.GW030131_1,Glevel.gw_shallow.GW030132_2,Glevel.gw_shallow.GW036186_1,Glevel.gw_shallow.GW036187_1,Glevel.gw_deep.GW030129_1,Glevel.gw_deep.GW030130_2,Glevel.gw_deep.GW030133_1,Glevel.gw_deep.GW030134_1
1969-01-01,6840.8491909782,170121.936830131,3814.8942877142,2221.408036599,2369.8723843233,0,0.4890279591,142.598638476,0,6840.8491909782,0,178.8938514382,143.0876664351,0,0,0,142.598638476,-0.4890279591,-5.3123678488,-5.473212729,-6.1948487451,-9.9962672701,-8.4921837516,0,0,0,0
1969-01-02,3456.3236658018,170878.086294766,4040.3023677142,2574.7214726657,2746.2512251672,0,1.0801285914,314.9612688528,0,3456.3236658018,0,89.823431119,173.4427589681,0,0,0,314.9612688528,-1.5691565505,-5.2962296506,-5.4540138156,-6.1651426233,-9.9023650287,-8.4296956611,0,0,0,0
1969-01-03,5827.8165989721,169686.884326269,4322.7414077142,3576.0177899169,3813.7965658097,0,1.9294364163,562.6161058255,0,5827.8165989721,0,151.140024817,249.584273389,0,0,0,562.6161058255,-3.4985929668,-5.2730418933,-5.4264283478,-6.122460142,-9.7674439949,-8.3399112465,0,0,0,0
1969-01-04,650.6919896402,173287.106893104,4224.9740477142,2549.729848392,2718.0036350612,0,2.560651185,746.675861345,0,650.6919896402,0,16.9965294812,186.6204067045,0,0,0,746.675861345,-6.0592441518,-5.2558085011,-5.4059265296,-6.0907380598,-9.6671692221,-8.2731824977,0,0,0,0
1969-01-05,0,177571.827660818,4284.7207677142,1667.7523803795,1776.4068280863,0,2.9978907823,874.1732162573,0,0,0,0,130.4952456946,0,0,0,874.1732162573,-9.0571349341,-5.2438710087,-5.3917250134,-6.0687643179,-9.5977093434,-8.2269597972,0,0,0,0
1969-01-06,0,181840.253868533,4268.4262077142,1091.3393316849,1161.0069898971,0,3.3050096332,963.7278709097,0,0,0,0,92.8596642856,0,0,0,963.7278709097,-12.3621445673,-5.2354860661,-5.3817498113,-6.0533298733,-9.5489204454,-8.1944927864,0,0,0,0
1969-01-07,0,186369.393036247,4529.1391677142,714.6305892121,758.7998476914,0,3.5235200557,1027.4446547008,0,0,0,0,67.2403038469,0,0,0,1027.4446547008,-15.885664623,-5.2295203061,-5.3746526058,-6.0423484991,-9.5142078815,-8.1713929988,0,0,0,0
1969-01-08,0,191159.245163961,4789.8521277142,468.439083513,495.9291493219,0,3.6805243798,1073.2265009729,0,0,0,0,49.4623706518,0,0,0,1073.2265009729,-19.5661890028,-5.2252337824,-5.3695531146,-6.0344581513,-9.4892661759,-8.1547953167,0,0,0,0
1969-01-09,0,196242.399371675,5083.1542077142,307.5462921099,324.1246316739,0,3.7938367394,1106.2679414508,0,0,0,0,36.8352772173,0,0,0,1106.2679414508,-23.3600257422,-5.2221401343,-5.3658727359,-6.0287635697,-9.4712653754,-8.1428165222,0,0,0,0
1969-01-10,230.6425008649,200822.449656367,4882.1879677142,277.296217079,291.739658106,0,3.8932454474,1135.2551315585,0,230.6425008649,0,7.0998161124,32.8804355551,0,0,0,1135.2551315585,-27.2532711896,-5.219426083,-5.362643947,-6.0237677246,-9.4554733089,-8.1323075496,0,0,0,0
1969-01-11,121.8996644371,205391.994635488,4738.2526877142,222.2362522698,232.9020636038,0,3.9727611086,1158.4415870661,0,121.8996644371,0,3.8726269704,27.1592166162,0,0,0,1158.4415870661,-31.2260322981,-5.2172551507,-5.360061283,-6.0197716167,-9.4428414517,-8.1239015667,0,0,0,0
1969-01-12,0,210293.192923202,4901.1982877142,146.677879096,152.2179038778,0,4.0273134311,1174.3488307547,0,0,0,0,19.9345571197,0,0,0,1174.3488307547,-35.2533457292,-5.215765766,-5.3582894268,-6.0170300566,-9.4341752702,-8.1181345783,0,0,0,0
1969-01-13,4158.1837749758,208900.749214141,4822.4412477142,1447.597137374,1540.0029032865,0,4.3878979675,1279.493870008,0,4158.1837749758,0,138.231268249,109.5329372209,0,0,0,1279.493870008,-39.6412436968,-5.2059211061,-5.3465776625,-5.9989086613,-9.3768928138,-8.0800154529,0,0,0,0
1969-01-14,474.1854826234,212907.605144246,4727.3896477142,1101.8582073965,1170.7722417933,0,4.6724079472,1362.4558662895,0,474.1854826234,0,15.9207997672,87.6344042286,0,0,0,1362.4558662895,-44.3136516439,-5.1981534297,-5.3373367952,-5.9846104393,-9.3316955609,-8.0499385347,0,0,0,0
1969-01-15,1171.3845615396,215743.914337775,4692.0847677142,1102.3452153923,1170.9843674544,0,4.9606229969,1446.498246518,0,1171.3845615396,0,40.339864275,89.0030032254,0,0,0,1446.498246518,-49.2742746408,-5.1902845976,-5.3279755875,-5.9701260166,-9.2859097205,-8.0194699357,0,0,0,0
1969-01-16,0,220479.451265489,4735.5369277142,722.3788976012,765.3207667183,0,5.1607681545,1504.8597909644,0,0,0,0,63.5223126009,0,0,0,1504.8597909644,-54.4350427953,-5.1848202451,-5.3214748847,-5.9600676,-9.2541146625,-7.9983116286,0,0,0,0
1969-01-17,404.8247473226,224429.776730579,4659.4956477142,605.5131867206,640.4342888596,0,5.3320565797,1554.8068251987,0,404.8247473226,0,14.8450700532,55.2790908139,0,0,0,1554.8068251987,-59.767099375,-5.1801437376,-5.3159114468,-5.951459396,-9.2269037847,-7.9802039054,0,0,0,0
