"Time","GW036186",""
"and","110.00",""
"Date","Bore level below MP",""
"","Mean","Qual"
00:00:00 22/04/2005,"",    255,Sites:
00:00:00 23/04/2005,      11.161,      4,GW036186 - Maules Creek - Merriendi Crossing SR16 Lat:-30.53353722 Long:150.02273333 Elev:239.07
00:00:00 24/04/2005,      11.170,      4,
00:00:00 25/04/2005,      11.178,      4,Variables:
00:00:00 26/04/2005,      11.188,      4,110 - Bore Water Level below Measuring Pt (Metres)
00:00:00 27/04/2005,      11.191,      4,
00:00:00 28/04/2005,      11.191,      4,Qualities:
00:00:00 29/04/2005,      11.183,      4,3 - RATINGS/TS - No data in the period have been adjusted from sensing system measurement in any way - see code definitions
00:00:00 30/04/2005,      11.192,      4,4 - TS - Data adjusted during processing - see code definitions
00:00:00 01/05/2005,      11.204,      4,5 - RATINGS/TS - No data in the period have been adjusted from sensing system measurement in any way - see code definitions
00:00:00 02/05/2005,      11.214,      4,7 - RATINGS/TS - Large uncertainty - data in period not adjusted from sensing system measurement in any way - see code definitions; Good Gauging
00:00:00 03/05/2005,      11.220,      4,8 - TS - Data adjusted during processing - see comments
00:00:00 04/05/2005,      11.217,      4,9 - RATINGS/TS - Large uncertainty - data in period not adjusted from sensing system measurement in any way -
00:00:00 05/05/2005,      11.227,      4,10 - TS - Data adjusted during processing - see comments
00:00:00 06/05/2005,      11.229,      4,11 - TS-Synthetic or Artificial Data. Data which does not relate directly to the measured variable but for which a valid code is required
00:00:00 07/05/2005,      11.236,      4,51 - TS - Data estimated - see comments
00:00:00 08/05/2005,      11.237,      4,100 - Quality unknown
00:00:00 09/05/2005,      11.241,      4,130 - Not quality coded - subject to change
00:00:00 10/05/2005,      11.239,      4,201 - Data unavailable
00:00:00 11/05/2005,      11.245,      4,255 - No data
00:00:00 12/05/2005,      11.228,      4,255 - No data exists
00:00:00 13/05/2005,      11.236,      4,255 - Data Unavailable
00:00:00 14/05/2005,      11.259,      4
00:00:00 15/05/2005,      11.268,      4
00:00:00 16/05/2005,      11.276,      4
