"Index","P.sw_419051","T.sw_419051","swInflow.None","gwExtraction.gw_shallow","gwExtraction.gw_deep","swExtraction.sw_419051","Gobs.gw_shallow.GW030130_1","Gobs.gw_shallow.GW030131_1","Gobs.gw_shallow.GW030132_2","Gobs.gw_shallow.GW036186_1","Gobs.gw_shallow.GW036187_1","Gobs.gw_deep.GW030129_1","Gobs.gw_deep.GW030130_2","Gobs.gw_deep.GW030133_1","Gobs.gw_deep.GW030134_1","Qobs.sw_419051"
1969-01-01,16.63,28.0944876403966,,0,0,0,,,,,,,,,,
1969-01-02,8.35,29.7544876403966,,0,0,0,,,,,,,,,,
1969-01-03,14.05,31.8344876403966,,0,0,0,,,,,,,,,,
1969-01-04,1.58,31.1144876403966,,0,0,0,,,,,,,,,,
1969-01-05,0,31.5544876403966,,0,0,0,,,,,,,,,,
1969-01-06,0,31.4344876403966,,0,0,0,,,,,,,,,,
1969-01-07,0,33.3544876403966,,0,0,0,,,,,,,,,,
1969-01-08,0,35.2744876403966,,0,0,0,,,,,,,,,,
1969-01-09,0,37.4344876403966,,0,0,0,,,,,,,,,,
1969-01-10,0.66,35.9544876403966,,0,0,0,,,,,,,,,,
1969-01-11,0.36,34.8944876403966,,0,0,0,,,,,,,,,,
1969-01-12,0,36.0944876403966,,0,0,0,,,,,,,,,,
1969-01-13,12.85,35.5144876403966,,0,0,0,,,,,,,,,,
1969-01-14,1.48,34.8144876403966,,0,0,0,,,,,,,,,,
1969-01-15,3.75,34.5544876403966,,0,0,0,,,,,,,,,,
1969-01-16,0,34.8744876403966,,0,0,0,,,,,,,,,,
1969-01-17,1.38,34.3144876403966,,0,0,0,,,,,,,,,,
1969-01-18,8.13,32.2544876403966,,0,0,0,,,,,,,,,,
1969-01-19,12.89,33.8144876403966,,0,0,0,,,,,,,,,,
1969-01-20,1,33.3144876403966,,0,0,0,,,,,,,,,,
1969-01-21,0,34.0344876403966,,0,0,0,,,,,,,,,,
1969-01-22,0,34.5144876403966,,0,0,0,,,,,,,,,,
1969-01-23,0,35.4344876403966,,0,0,0,,,,,,,,,,
1969-01-24,0,36.7778089739387,,0,0,0,,,,,,,,,,
1969-01-25,0.11,34.4144876403966,,0,0,0,,,,,,,,,,
1969-01-26,0.49,36.3544876403966,,0,0,0,,,,,,,,,,
1969-01-27,0.11,35.9544876403966,,0,0,0,,,,,,,,,,
1969-01-28,0,36.0144876403966,,0,0,0,,,,,,,,,,
1969-01-29,0,32.7744876403966,,0,0,0,,,,,,,,,,
1969-01-30,0,30.9144876403966,,0,0,0,,,,,,,,,,
1969-01-31,0,32.5144876403966,,0,0,0,,,,,,,,,,
1969-02-01,0,34.2544876403966,,0,0,0,,,,,,,,,,
1969-02-02,0,32.9944876403966,,0,0,0,,,,,,,,,,
